the_geom,cartodb_id,dt_start,dt_end,fishfry_uuid
,2572,2017-03-10 13:00:00+00,2017-03-11 00:00:00+00,efabd97f-3e5d-426d-a126-2d1dcab739da
,2573,2017-03-17 20:00:00+00,2017-03-17 23:00:00+00,a2a94518-6418-4a06-ac58-f4f72595b77b
,2574,2017-03-03 21:00:00+00,2017-03-04 00:00:00+00,a2a94518-6418-4a06-ac58-f4f72595b77b
,2575,2017-03-31 20:00:00+00,2017-03-31 23:00:00+00,a2a94518-6418-4a06-ac58-f4f72595b77b
,2576,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,a2a94518-6418-4a06-ac58-f4f72595b77b
,2577,2017-03-10 21:00:00+00,2017-03-11 00:00:00+00,a2a94518-6418-4a06-ac58-f4f72595b77b
,2578,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,a2a94518-6418-4a06-ac58-f4f72595b77b
,2595,2017-04-07 20:00:00+00,2017-04-07 23:30:00+00,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
,2596,2017-03-17 20:00:00+00,2017-03-17 23:30:00+00,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
,2597,2017-03-31 20:00:00+00,2017-03-31 23:30:00+00,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
,2598,2017-03-10 21:00:00+00,2017-03-11 00:30:00+00,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
,2599,2017-03-03 21:00:00+00,2017-03-04 00:30:00+00,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
,2600,2017-03-24 20:00:00+00,2017-03-24 23:30:00+00,f00b9e2d-2f2d-4f1b-ae93-1d939195b606
,2601,2017-03-01 21:00:00+00,2017-03-02 01:00:00+00,28
,2602,2017-04-14 15:00:00+00,2017-04-14 23:00:00+00,28
,2603,2017-03-03 16:00:00+00,2017-03-04 00:00:00+00,28
,2604,2017-03-24 15:00:00+00,2017-03-24 23:00:00+00,28
,2605,2017-03-17 15:00:00+00,2017-03-17 23:00:00+00,28
,2606,2017-03-10 16:00:00+00,2017-03-11 00:00:00+00,28
,2607,2017-03-31 15:00:00+00,2017-03-31 23:00:00+00,28
,2608,2017-04-07 15:00:00+00,2017-04-07 23:00:00+00,28
,2609,2017-03-24 20:00:00+00,2017-03-25 06:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2610,2017-03-31 20:00:00+00,2017-04-01 06:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2611,2017-03-17 20:00:00+00,2017-03-18 06:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2612,2017-03-03 21:00:00+00,2017-03-04 07:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2613,2017-04-14 20:00:00+00,2017-04-15 06:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2614,2017-04-07 20:00:00+00,2017-04-08 06:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2615,2017-03-10 21:00:00+00,2017-03-11 07:00:00+00,ab21d669-867c-4791-a5d7-fb2dd7bfe154
,2624,2017-03-24 15:00:00+00,2017-03-25 03:45:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2625,2017-03-31 15:00:00+00,2017-04-01 03:45:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2626,2017-04-14 15:00:00+00,2017-04-15 03:45:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2627,2017-03-03 16:00:00+00,2017-03-03 16:00:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2628,2017-03-17 15:00:00+00,2017-03-18 03:45:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2629,2017-03-10 16:00:00+00,2017-03-11 04:45:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2630,2017-04-07 15:00:00+00,2017-04-08 03:45:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,2631,2017-03-01 16:00:00+00,2017-03-02 03:00:00+00,bf1207d9-1c7f-4f72-bbf2-5a6df4014555
,3403,2017-03-24 15:00:00+00,2017-03-24 22:00:00+00,a4108e3e-a0c2-41d5-97c0-c9b07f3ff405
,3404,2017-04-14 15:00:00+00,2017-04-14 22:00:00+00,a4108e3e-a0c2-41d5-97c0-c9b07f3ff405
,3405,2017-03-31 15:00:00+00,2017-03-31 22:00:00+00,a4108e3e-a0c2-41d5-97c0-c9b07f3ff405
,3406,2017-04-07 15:00:00+00,2017-04-07 22:00:00+00,a4108e3e-a0c2-41d5-97c0-c9b07f3ff405
,3407,2017-03-17 15:00:00+00,2017-03-17 22:00:00+00,a4108e3e-a0c2-41d5-97c0-c9b07f3ff405
,3408,2017-03-03 05:00:00+00,2017-04-15 03:45:00+00,d6cf749b-e815-4671-8e90-b2cb93eec789
,3417,2017-03-24 20:00:00+00,2017-03-24 23:00:00+00,22
,3418,2017-03-01 21:00:00+00,2017-03-02 00:00:00+00,22
,3419,2017-04-14 20:00:00+00,2017-04-14 23:00:00+00,22
,3420,2017-04-07 20:00:00+00,2017-04-07 23:00:00+00,22
,3421,2017-03-17 20:00:00+00,2017-03-17 23:00:00+00,22
,3422,2017-03-10 21:00:00+00,2017-03-11 00:00:00+00,22
,2652,2017-03-24 15:00:00+00,2017-03-25 03:45:00+00,1a668247-15ad-436a-8263-1e585d9aab6c
